"Soil_Data_ID","Event_ID","Date_SoilCollected","Sampling_Position","Earthworms","Sample_Type","Horizon_Type","Notes","Archived","Created_By","Created_Date","Updated_By","Updated_Date"
"866F0544-78AF-4674-B8B4-6AB568513B2F","01B1E0AF-B69D-4D19-9ABF-72F68C8DE3C1",2012-08-29,"S1",NA,1,1,NA,FALSE,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2012-08-29 12:33:53,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2012-08-29 13:54:47
"86746A70-D7AE-4EE6-9EBD-744D488FAFC8","9A63CC25-C662-485C-BA66-9B7780C33BFA",2019-03-05,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-03-05 14:42:26,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-03-05 14:42:31
"868AA3CF-A0E1-4A71-BB4F-4D410D466BC0","FA5941CE-E13C-48FC-A105-F174EDF4C151",2012-09-04,"S2",NA,1,1,NA,FALSE,"{263FEBBD-F5A4-4597-A31D-BD8BC90961D3}",2012-09-04 08:07:59,"{263FEBBD-F5A4-4597-A31D-BD8BC90961D3}",2012-09-04 09:37:59
"86C2489C-0D24-4265-89F3-2E60E3886CC1","3FD2626B-9878-44D6-9770-3A056ADF5C41",2011-09-01,"S2",NA,2,3,NA,FALSE,"{FAFE6C5C-1246-4540-ACCD-D7F2CE7D1E3B}",2011-09-01 16:33:42,"{FAFE6C5C-1246-4540-ACCD-D7F2CE7D1E3B}",2011-09-01 16:40:01
"872E8D52-2B2F-4AB3-B7BD-AE79FECB01E7","CFB5B6F1-6C4F-420A-AF71-055D47D44B20",NA,NA,NA,NA,NA,"No soils collected at COLO",FALSE,NA,2011-10-03 15:32:08,NA,2011-10-03 15:32:08
"878DD654-8AF2-40E1-A28D-1353B60D0D75","AF4CDB00-A150-474A-9909-005CCE7725E2",2013-08-01,"S2",NA,1,1,NA,FALSE,"{0880C00B-EF4A-43FD-9A3A-69C6B18A1D69}",2013-08-01 07:47:36,"{0880C00B-EF4A-43FD-9A3A-69C6B18A1D69}",2013-08-01 10:51:32
"87B4F950-DFF6-485D-B935-58E264EBFE33","4C1FB905-02F5-4832-8DD7-196F13C22946",2019-07-18,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{7CF1D8A0-4CB5-44EA-A457-1E82542FD34A}",2019-07-18 10:32:28,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-12-06 14:27:35
"87B51059-E38A-41DF-993E-DE8E29039766","B21E7066-9EBC-46C5-AF99-B3A3AEFF854C",2019-07-23,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-07-23 10:15:41,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2020-02-11 17:25:39
"8818B60D-12C7-48A9-B93E-5FE2B938D430","4C5FAF30-D220-40E0-A489-2C88AEBB6C1B",2011-06-07,"S1",NA,1,3,NA,FALSE,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2010-09-20 16:45:31,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2010-09-20 16:49:14
"881A8997-24FB-4097-A3E0-6F560937E30E","4D053A06-9B03-43D3-A084-FBBF9B7A0EAF",2020-01-24,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{F6CEB8C1-5112-4897-BA31-ACA72F50C22F}",2020-01-24 14:58:11,"{F6CEB8C1-5112-4897-BA31-ACA72F50C22F}",2020-01-24 14:58:12
