"Location_Meta_ID","Location_ID","Proposed_Date","Proposed_By","Proposed_Change","Implemented","Implemented_By","Implemented_Date","Created_By","Created_Date","Updated_By","Updated_Date"
"405CFCD2-46F9-48C6-8257-10A935F9B482","FA83D02B-5E7D-48C3-9D32-8FAC7F25C629",2015-08-04 13:54:12,"26055776-267F-44A2-BD5D-90736C831915","Orientation changed to 3 degrees.",TRUE,"26055776-267F-44A2-BD5D-90736C831915",NA,NA,2015-08-04 13:54:32,NA,2015-08-04 13:54:32
"5502122F-2C02-4B55-889E-46C67AD577A5","4AB15C34-F346-4159-A87C-631E5390835F",2010-01-20 11:13:41,"0D8B7E81-2C6D-4367-80EF-114BED1D8371","Plot 4 and Plot 7 may be swapped.  Need to revisit plot and check names",FALSE,NA,NA,NA,2012-06-14 09:04:08,NA,2012-06-14 09:04:08
"C8BD6B2A-C220-49BF-A42E-3925F80D8BBD","FA83D02B-5E7D-48C3-9D32-8FAC7F25C629",2010-01-20 13:28:32,"0D8B7E81-2C6D-4367-80EF-114BED1D8371","Plots 7 and 4 may be swapped - need to revisit and check coordinates",FALSE,NA,NA,NA,2012-06-14 09:04:10,NA,2012-06-14 09:04:10
