"LabResult_ID","Soil_Data_ID","Unit_Code","Plot_Number","Sampling_Year","QA.QC","Layer","Date_SoilCollected","Date_Dry","UMO_Sample","soil.pH","X..LOI","X..TN","X..TC","Ca","K.Reported","K.Analysis","Mg","P.Reported","P.Analysis","Al.Reported","Al.Analysis","Fe.Reported","Fe.Analysis","Mn","Na.Reported","Na.Analysis","Zn.Reported","Zn.Analysis","acidity.Reported","acidity.Analysis","ECEC","Notes","Appended_Date","Appended_By"
"0986F35F-FA9D-4403-81CB-0AA5844FAE00","EE59A7B6-D546-4DE4-AEB9-8183F6D44BAB","FRSP_CHWILD","062","2011",FALSE,"A",2011-08-30,2011-09-22,"33",4.39,5,0.06945,2.289,29.78,"55.86",55.86,13.7,"2.116",2.116,"266.6",266.6,"18.848",18.848,3.64,"19.96",19.96,"3.948",3.948,"3.366",3.366,3.85730426046962,NA,2012-04-10 00:00:00,NA
"0A1F16EF-E4E1-4E21-B347-F69A801CF041","B490AF03-D031-4BA7-A17E-E196B119D326","FRSP_CHWILD","075","2011",FALSE,"A",2011-08-28,2011-09-14,"36",3.76,NA,0.2203,6.913,334,"112.14",112.14,96.08,"6.214",6.214,"267.6",267.6,"23.94",23.94,25.36,"11.516",11.516,"2.678",2.678,"4.752",4.752,7.54965452727522,NA,2012-04-10 00:00:00,NA
"0A6ACAC3-D364-44F9-8FD1-2C57F52C9410","C953819B-4C7A-480E-87C2-94785C9D051D","THST","293","2010",FALSE,"10cm",2010-09-08,2010-09-22,"62",4.59,2.7,0.09668,1.197,65.64,"30.12",30.12,19.84,"2.36",2.36,"110.48",110.48,"2.96",2.96,13.96,"4.56",4.56,"0.8",0.8,"1.782",1.782,NA,NA,2011-06-07 10:38:37,NA
"0C423F80-CC23-4E50-B44F-EAE390F533DB","538BCF68-390F-48F2-A49C-9D0979A020F7","FRSP","5156","2012",FALSE,"O",2012-09-20,2012-09-27,"56",3.9,33.6,0.68,18.1,379,"293.5",294,465,"19.365",19,"205.6",206,"136.95",137,25,"202.2",202,"44",43.525,"7.32",7.3,14.7,NA,2013-05-14 10:21:09,"Adam J Kozlowski"
"0C5417AB-717F-47B8-856A-EECD2BA15DE1","05AFFB26-6B8D-4056-870C-061BCC95B781","RICH","306","2010",FALSE,"A",2010-09-16,2010-09-22,"83",4.26,4.6,0.1347,2.837,146.3,"25.02",25.02,18.14,"< 1.0",1,"79",79,"6.84",6.84,7.28,"1.26",1.26,"1.22",1.22,"1.782",1.782,NA,NA,2011-06-07 10:38:37,NA
"0D11AA23-A388-4F6C-BCA3-FBD9865B4E05","6D190C9E-601A-4FCF-A644-5FA637C234D3","FRSP","223","2013",FALSE,"A",2013-08-21,2013-09-16,"36",4.29,6.7,0.149,3.84,49.78,"57.66",57.66,43.32,"1.73",1.73,"232.4",232.4,"11.516",11.516,5.936,"5.844",5.844,"2.466",2.466,"4.4",4.4,5.17831993621925,NA,2014-11-27 07:42:43,"Jim A Comiskey"
"0E049FE8-1A3B-4E41-AED3-E49C9668CBBA","1EF8411F-7730-4365-8F01-BB0570B962A7","PETE_EAST","298","2010",FALSE,"10cm",2010-09-13,2010-09-22,"69",5.16,2.9,0.09653,1.425,170.68,"30.38",30.38,23.9,"1.16",1.16,"47.22",47.22,"0.5",0.5,8.36,"2.7",2.7,"1.06",1.06,"0.792",0.792,NA,NA,2011-06-07 10:38:37,NA
"0E9DCB10-4A22-43DD-BDA2-08B95F5B15E8","21A0B064-DDBF-45B4-94B4-3B67F17FFD13","PETE_EAST","308","2010",FALSE,"A",2010-09-15,2010-09-22,"86",4.79,2.8,0.06747,1.507,19.4,"27.68",27.68,12.24,"< 1.0",1,"112.84",112.84,"3.42",3.42,2.74,"2.36",2.36,"0.88",0.88,"1.782",1.782,NA,NA,2011-06-07 10:38:37,NA
"0EF8E3B9-2A4F-4E6D-9B36-D9D12A09984F","B54E81EF-D5CA-4DC8-92B6-59F5660289CD","GETT","028","2012",FALSE,"O",2012-08-06,2012-09-17,"59",6.3,NA,0.22,3.65,2122,"166.32",166,204,"2.346",2.3,"1.48",1.5,"0.464",0.5,13,"6.818",6.8,"< 0.2",0.2,NA,0.2,12.7,"Not collected 2011",2013-05-14 10:21:09,"Adam J Kozlowski"
"0F8CB05B-ABA6-46ED-8FC2-14BD9331DD54","3C8B501F-597F-41C9-BA71-A6640C8BAD48","GETT","035","2012",FALSE,"A",2012-08-06,2012-09-05,"71",5,6.1,0.14,2.42,746,"40.5",41,145,"2.278",2.3,"45.4",45,"2.728",2.7,57,"9.034",9,"1.1",1.09,"1.7568",1.8,6.8,"Not collected 2011",2013-05-14 10:21:09,"Adam J Kozlowski"
