"Microplot_Characterization_Data_ID","Event_ID","Microplot_Name"
"00294A19-E24E-40F0-B45C-477C8D912DAE","7992CA5F-B7C4-4740-A5BD-067625695C38","UL"
"003BB446-0846-4BBF-BCA0-901A6134C0CA","2E4297B9-095E-4DC3-8AE9-60E20870D203","B"
"00487559-2F3A-4E2F-9193-C3A8F17A685E","06575C31-1D1D-4750-A04A-B6C1F8D15D28","UL"
"006184B3-1936-41B3-9709-A716EE224804","5D03447B-3BE1-4170-8FE7-E2E5D6BF6D1D","B"
"006BB60B-34A5-49CE-BE7E-B807EA6B6DC7","19006575-5DDD-4DB8-BFF9-53BD4DD4FA4C","B"
"008CF939-FC3B-4CA2-9CA6-8553367C019B","B6E06E21-8488-45CA-BEAA-8DCAD687F491","UL"
"0099C66B-C7FF-4573-ADDA-AE1DD70493E2","30D60D99-CCE3-411B-BF40-351E11582127","B"
"00B28568-D6A1-4D2C-BCB0-70BBD81989D6","6F517555-BCF5-4B6F-A66E-B453B06C4119","UL"
"00B59851-66B7-4538-89BC-6580629754B1","47BD514F-5DAD-4A3F-9A10-2EDBB46FF49A","UR"
"00DFAD70-31F3-4973-ADEE-7C5684FF55B1","A5401B91-60D9-4A9C-912B-62DF257618A6","UL"
"00E73EC0-B907-4146-9525-1F63DE4CC1A5","92335355-B9A8-4C0D-977D-280C3C706B37","UL"
"00EA5867-766B-4A5A-A1A3-60A9416DF866","21F95D3C-F48D-4DCA-BA5D-BDAAD259858C","UR"
"00F3FA36-39AF-46A0-8D31-6C6D423C3D11","67E38C6E-DAAC-4C98-81A8-7FE2E47A0D53","UL"
"00F5B731-BB6F-4217-AAAC-BD946FF633F0","5E6E6964-D130-4C86-AAA0-ECFBFECDA2DB","UL"
"00FF8CA0-DDC3-4740-B8EC-D29A62A43A98","F9EB00D2-2AD6-4EA6-BA5D-9731C171BDD5","B"
"01207A9C-6526-4116-B997-4352E1F30236","2DF330CF-7439-48C4-AF8D-CE34638EB76E","UL"
"01274647-9E01-403B-8B65-414DE578ACA2","65E1F77A-2CED-4848-A0F1-06747F5B9FFB","UL"
"012C4F9C-AC12-4753-914A-214C214BCC56","F3BD07FD-D8D2-4855-80B7-A24901A2B022","UL"
"0148A5DC-2D2C-461F-88E8-39857F3564F4","6C632D07-4E63-4B50-B278-A15FE0A1D6FE","UL"
